
 FES - Finite Element Solver 
 MATLAB version 3/23/2015 
 v2 mixed brick 8 element is added: 04/25/2015 
 v2 bug how to calculate deformation gradient: 04/21/2015 
 v2 1 point integration is added: 04/20/2015 
 
Element type:      QUAD4 	 Node Number per element:  4 
Total node number:     63 	 Total element number:     40

 

 STEP:     1
Iter:   1 	 r: 4.66e-01 	 N(r): 1.00e+00 	 time: 9.40e+00 
Iter:   2 	 r: 1.15e+00 	 N(r): 2.46e+00 	 time: 9.45e+00 
Iter:   3 	 r: 1.42e-03 	 N(r): 3.04e-03 	 time: 9.49e+00 
Iter:   4 	 r: 8.41e-07 	 N(r): 1.80e-06 	 time: 9.53e+00 
Iter:   5 	 r: 3.82e-11 	 N(r): 8.20e-11 	 time: 9.59e+00 

 STEP:    50
Iter:   1 	 r: 4.71e-01 	 N(r): 1.00e+00 	 time: 9.63e+00 
Iter:   2 	 r: 1.01e+00 	 N(r): 2.15e+00 	 time: 9.67e+00 
Iter:   3 	 r: 1.06e-03 	 N(r): 2.25e-03 	 time: 9.71e+00 
Iter:   4 	 r: 4.36e-07 	 N(r): 9.24e-07 	 time: 9.75e+00 
Iter:   5 	 r: 3.84e-11 	 N(r): 8.15e-11 	 time: 9.79e+00 
